id,chain,dept,category,company,brand,date,productsize,productmeasure,purchasequantity,purchaseamount
86246,205,7,707,1078778070,12564,3/2/2012,12,OZ,1,7.59
86247,205,63,6319,107654575,17876,3/2/2012,64,OZ,1,1.59
86248,205,97,9753,1022027929,0,3/2/2012,1,CT,1,5.99
86249,205,25,2509,107996777,31373,3/2/2012,16,OZ,1,1.99
86250,205,55,5555,107684070,32094,3/2/2012,16,OZ,2,10.38
86251,205,97,9753,1021015020,0,3/2/2012,1,CT,1,7.8
86252,205,99,9909,104538848,15343,3/2/2012,16,OZ,1,2.49
86253,205,59,5907,102900020,2012,3/2/2012,16,OZ,1,1.39
86254,205,9,921,101128414,9209,3/2/2012,4,OZ,2,1.5
86255,205,73,7344,1068142161,20285,3/2/2012,8,CT,1,5.79
86256,205,41,4107,104113040,28204,3/2/2012,14.5,OZ,1,0.59
86257,205,21,2106,105100050,27873,3/2/2012,64,OZ,1,3.29
86258,205,8,814,102840020,18584,3/2/2012,15.5,OZ,1,3.29
86259,205,91,9122,108200080,2911,3/2/2012,10,OZ,1,1.99
86260,205,41,4120,101116616,15266,3/2/2012,6,OZ,1,0.89
86261,205,63,6315,107996777,31373,3/2/2012,64,OZ,1,3.59
86262,205,9,907,101410010,13791,3/2/2012,24,OZ,1,3.99
86263,205,97,9753,1021013323,0,3/2/2012,1,CT,1,8.87
86264,205,45,4509,1082650484,59628,3/2/2012,16,OZ,1,4.99
86265,205,26,2630,103700030,14647,3/2/2012,56,CT,1,1
86266,205,8,815,103900030,13296,3/2/2012,8,OZ,1,1.89
86267,205,81,8101,102820020,11186,3/2/2012,1,CT,1,4.77
86268,205,56,5615,101116616,15266,3/2/2012,16,OZ,1,6.29
86269,205,58,5824,108674585,55172,3/2/2012,16,OZ,1,3.29
86270,205,9,907,107225070,12465,3/2/2012,20,OZ,1,2.99
86271,205,97,9753,10000,0,3/2/2012,1,CT,1,0.69
86272,205,8,836,101116616,15266,3/2/2012,64,OZ,1,2.19
86273,205,19,1908,104530040,13915,3/2/2012,13,OZ,1,3.69
86274,205,9,904,1078735979,6734,3/2/2012,5,OZ,1,2.49
86275,205,64,6401,108066080,4098,3/2/2012,144,OZ,1,14.69
86276,205,32,3204,107040474,14245,3/2/2012,8,OZ,1,4.39
86277,205,56,5620,101116616,15266,3/2/2012,8,OZ,1,3.29
86278,205,30,3009,102100020,9886,3/2/2012,8,OZ,1,2.09
86279,205,97,9753,1021013424,0,3/2/2012,1,CT,4,14.64
86280,205,30,3009,104100040,19975,3/2/2012,8,OZ,1,1.79
86281,205,23,2301,101116616,15266,3/2/2012,16,OZ,2,2.59
86282,205,32,3202,101116616,15266,3/2/2012,24,OZ,1,3.19
86283,205,56,5620,102100020,9886,3/2/2012,8,OZ,1,4.59
86284,205,29,2928,104100040,9814,3/2/2012,5.6,OZ,1,1.49
86285,205,19,1905,105150050,16728,3/2/2012,32,OZ,1,2.69
86286,205,31,3101,105250050,15919,3/2/2012,1.7,OZ,1,2.99
86287,205,58,5823,107080070,16704,3/2/2012,16,OZ,1,4.59
86288,205,33,3309,102840020,18584,3/2/2012,13,OZ,1,3.99
86289,205,19,1905,105150050,16728,3/2/2012,18,OZ,1,4.19
86290,205,29,2908,103900030,13296,3/2/2012,16,OZ,1,1.59
86291,205,36,3630,107800070,5208,3/2/2012,144,OZ,1,4.99
86292,205,36,3626,104900040,17186,3/2/2012,144,OZ,1,5.79
86293,205,36,3612,108265787,4687,3/2/2012,128,OZ,1,1.39
86294,205,33,3319,102840020,15598,3/2/2012,9,OZ,1,3.99
86295,205,36,3630,104900040,23359,3/2/2012,144,OZ,1,5.79
86296,205,34,3410,107418272,16853,3/2/2012,7.5,OZ,1,2.19
86297,205,36,3611,108265787,4687,3/2/2012,405.6,OZ,1,6.29
86298,205,8,809,101300010,8164,3/3/2012,12,OZ,1,1.29
86299,205,71,7113,107940070,17521,3/3/2012,12,OZ,1,1
86300,205,60,6010,101116616,15266,3/3/2012,30,OZ,1,2.99
